Date,Open,High,Low,Close,Volume
18/07/2016 16:00:00,24.68,25.03,24.65,24.96,36493867
19/07/2016 16:00:00,24.89,25,24.84,24.97,23779924
20/07/2016 16:00:00,25,25.12,24.93,24.99,26275968
21/07/2016 16:00:00,24.96,25.25,24.78,24.86,32702028
22/07/2016 16:00:00,24.82,24.83,24.58,24.67,28313669
25/07/2016 16:00:00,24.56,24.71,24.23,24.34,40382921
26/07/2016 16:00:00,24.21,24.49,24.11,24.17,56239822
27/07/2016 16:00:00,26.07,26.09,25.69,25.74,92344820
28/07/2016 16:00:00,25.71,26.11,25.71,26.09,39869839
29/07/2016 16:00:00,26.05,26.14,25.92,26.05,27733688
01/08/2016 16:00:00,26.1,26.54,26.1,26.51,38167871
02/08/2016 16:00:00,26.51,26.52,26,26.12,33816556
03/08/2016 16:00:00,26.2,26.46,26.19,26.45,30202641
04/08/2016 16:00:00,26.4,26.5,26.32,26.47,27408650
05/08/2016 16:00:00,26.57,26.91,26.55,26.87,40553402
08/08/2016 16:00:00,26.88,27.09,26.79,27.09,28037220
09/08/2016 16:00:00,27.06,27.24,27,27.2,26315204
10/08/2016 16:00:00,27.18,27.23,26.94,27,24008505
11/08/2016 16:00:00,27.13,27.23,26.96,26.98,27484506
12/08/2016 16:00:00,26.95,27.11,26.95,27.05,18660434
15/08/2016 16:00:00,27.04,27.39,27.02,27.37,25868209
16/08/2016 16:00:00,27.41,27.56,27.3,27.35,33794448
17/08/2016 16:00:00,27.28,27.34,27.09,27.31,25355976
18/08/2016 16:00:00,27.31,27.4,27.26,27.27,21984703
19/08/2016 16:00:00,27.19,27.42,27.09,27.34,25368072
22/08/2016 16:00:00,27.22,27.28,26.96,27.13,25820230
23/08/2016 16:00:00,27.15,27.33,27.13,27.21,21257669
24/08/2016 16:00:00,27.14,27.19,26.92,27.01,23675081
25/08/2016 16:00:00,26.85,26.97,26.67,26.89,25086248
26/08/2016 16:00:00,26.85,26.99,26.58,26.74,27766291
29/08/2016 16:00:00,26.66,26.86,26.57,26.71,24970300
30/08/2016 16:00:00,26.45,26.63,26.38,26.5,24863945
31/08/2016 16:00:00,26.42,26.64,26.41,26.53,29662406
01/09/2016 16:00:00,26.54,26.7,26.41,26.68,26701523
02/09/2016 16:00:00,26.93,27,26.71,26.93,26802450
06/09/2016 16:00:00,26.98,27.08,26.88,26.93,26880391
07/09/2016 16:00:00,26.96,27.19,26.77,27.09,42364328
08/09/2016 16:00:00,26.81,26.82,26.31,26.38,53002026
09/09/2016 16:00:00,26.16,26.43,25.78,25.78,46556984
12/09/2016 16:00:00,25.66,26.43,25.63,26.36,45292770
13/09/2016 16:00:00,26.88,27.2,26.81,26.99,62176190
14/09/2016 16:00:00,27.18,28.26,27.15,27.94,112340318
15/09/2016 16:00:00,28.47,28.93,28.37,28.89,90613177
16/09/2016 16:00:00,28.78,29.03,28.51,28.73,79886911
19/09/2016 16:00:00,28.8,29.05,28.31,28.4,47023046
20/09/2016 16:00:00,28.26,28.53,28.13,28.39,34514269
21/09/2016 16:00:00,28.46,28.5,28.11,28.39,36003185
22/09/2016 16:00:00,28.59,28.74,28.5,28.66,31073984
23/09/2016 16:00:00,28.61,28.7,27.89,28.18,52481151
26/09/2016 16:00:00,27.91,28.35,27.89,28.22,29869442
27/09/2016 16:00:00,28.25,28.3,28.09,28.27,24607412
28/09/2016 16:00:00,28.42,28.66,28.36,28.49,29641085
29/09/2016 16:00:00,28.29,28.45,27.95,28.05,35886990
30/09/2016 16:00:00,28.12,28.34,27.95,28.26,36379106
03/10/2016 16:00:00,28.18,28.26,28.07,28.13,21701760
04/10/2016 16:00:00,28.27,28.58,28.16,28.25,29736835
05/10/2016 16:00:00,28.35,28.42,28.17,28.26,21453089
06/10/2016 16:00:00,28.43,28.59,28.28,28.47,28779313
07/10/2016 16:00:00,28.58,28.64,28.38,28.52,24358443
10/10/2016 16:00:00,28.76,29.19,28.68,29.01,36235956
11/10/2016 16:00:00,29.43,29.67,29.05,29.08,64041043
12/10/2016 16:00:00,29.34,29.5,29.19,29.34,37586787
13/10/2016 16:00:00,29.2,29.36,28.93,29.25,35192406
14/10/2016 16:00:00,29.47,29.54,29.28,29.41,35652191
17/10/2016 16:00:00,29.33,29.46,29.2,29.39,23624896
18/10/2016 16:00:00,29.55,29.55,29.36,29.37,24553478
19/10/2016 16:00:00,29.31,29.44,28.45,29.28,20034594
20/10/2016 16:00:00,29.22,29.35,29.08,29.27,24125801
21/10/2016 16:00:00,29.2,29.23,29.07,29.15,23192665
24/10/2016 16:00:00,29.28,29.44,29.25,29.41,23538673
25/10/2016 16:00:00,29.49,29.59,29.33,29.56,48128970
26/10/2016 16:00:00,28.58,28.93,28.33,28.9,66134219
27/10/2016 16:00:00,28.85,28.97,28.53,28.62,34562045
28/10/2016 16:00:00,28.47,28.8,28.36,28.43,37861662
31/10/2016 16:00:00,28.41,28.56,28.3,28.39,26419398
01/11/2016 16:00:00,28.37,28.44,27.63,27.87,43825812
02/11/2016 16:00:00,27.85,28.09,27.81,27.9,28331709
03/11/2016 16:00:00,27.75,27.87,27.39,27.46,26932602
04/11/2016 16:00:00,27.13,27.56,27.03,27.21,30836997
07/11/2016 16:00:00,27.52,27.63,27.37,27.6,32560000
08/11/2016 16:00:00,27.58,27.93,27.43,27.77,24254179
09/11/2016 16:00:00,27.47,27.83,27.01,27.72,59176361
10/11/2016 16:00:00,27.77,27.77,26.46,26.95,57134541
11/11/2016 16:00:00,26.78,27.22,26.64,27.11,34143898
14/11/2016 16:00:00,26.93,26.95,26.02,26.43,51175504
15/11/2016 16:00:00,26.64,26.92,26.54,26.78,32264510
16/11/2016 16:00:00,26.68,27.56,26.65,27.5,58840522
17/11/2016 16:00:00,27.45,27.59,27.21,27.49,27632003
18/11/2016 16:00:00,27.43,27.64,27.42,27.52,28428917
21/11/2016 16:00:00,27.53,28,27.5,27.93,29264571
22/11/2016 16:00:00,27.99,28.11,27.85,27.95,25965534
23/11/2016 16:00:00,27.84,27.88,27.58,27.81,27426394
25/11/2016 16:00:00,27.78,27.97,27.74,27.95,11475922
28/11/2016 16:00:00,27.86,28.12,27.85,27.89,27193983
29/11/2016 16:00:00,27.7,28.01,27.52,27.87,28528750
30/11/2016 16:00:00,27.9,28.05,27.57,27.63,36162258
01/12/2016 16:00:00,27.59,27.74,27.26,27.37,37086862
02/12/2016 16:00:00,27.29,27.52,27.21,27.48,26527997
05/12/2016 16:00:00,27.5,27.51,27.06,27.28,34324540
06/12/2016 16:00:00,27.38,27.59,27.3,27.49,26195462
07/12/2016 16:00:00,27.32,27.8,27.29,27.76,29998719
08/12/2016 16:00:00,27.72,28.11,27.65,28.03,27068316
09/12/2016 16:00:00,28.08,28.68,28.08,28.49,34402627
12/12/2016 16:00:00,28.32,28.75,28.12,28.33,26374377
13/12/2016 16:00:00,28.46,28.98,28.44,28.8,43733811
14/12/2016 16:00:00,28.76,29.05,28.75,28.8,34031834
15/12/2016 16:00:00,28.85,29.18,28.81,28.96,46524544
16/12/2016 16:00:00,29.12,29.13,28.91,28.99,44351134
19/12/2016 16:00:00,28.95,29.35,28.94,29.16,27779423
20/12/2016 16:00:00,29.19,29.38,29.17,29.24,21424965
21/12/2016 16:00:00,29.2,29.35,29.2,29.27,23783165
22/12/2016 16:00:00,29.09,29.13,28.91,29.07,26085854
23/12/2016 16:00:00,28.9,29.13,28.9,29.13,14249484
27/12/2016 16:00:00,29.13,29.45,29.12,29.32,18296855
28/12/2016 16:00:00,29.38,29.5,29.05,29.19,20905892
29/12/2016 16:00:00,29.11,29.28,29.1,29.18,15039519
30/12/2016 16:00:00,29.16,29.3,28.86,28.96,30586265
03/01/2017 16:00:00,28.95,29.08,28.69,29.04,28781865
04/01/2017 16:00:00,28.96,29.13,28.94,29.01,21118116
05/01/2017 16:00:00,28.98,29.22,28.95,29.15,22193587
06/01/2017 16:00:00,29.2,29.54,29.12,29.48,31751900
09/01/2017 16:00:00,29.49,29.86,29.49,29.75,33561948
10/01/2017 16:00:00,29.69,29.85,29.58,29.78,24462051
11/01/2017 16:00:00,29.69,29.98,29.65,29.94,27588593
12/01/2017 16:00:00,29.72,29.83,29.55,29.81,27086220
13/01/2017 16:00:00,29.78,29.91,29.7,29.76,26111948
17/01/2017 16:00:00,29.59,30.06,29.56,30,34439843
18/01/2017 16:00:00,30,30.13,29.93,30,23712961
19/01/2017 16:00:00,29.85,30.02,29.84,29.95,25597291
20/01/2017 16:00:00,30.11,30.11,29.93,30,32597892
23/01/2017 16:00:00,30,30.2,29.94,30.02,22050218
24/01/2017 16:00:00,29.89,30.03,29.88,29.99,23211038
25/01/2017 16:00:00,30.11,30.53,30.07,30.47,32586673
26/01/2017 16:00:00,30.42,30.61,30.4,30.49,26337576
27/01/2017 16:00:00,30.54,30.59,30.4,30.49,20562944
30/01/2017 16:00:00,30.23,30.41,30.17,30.41,30377503
